File: airs-bp
Type: alloc_objects
Time: Aug 26, 2023 at 7:15pm (UTC)
Showing nodes accounting for 6802207, 85.28% of 7975890 total
Dropped 397 nodes (cum <= 39879)
      flat  flat%   sum%        cum   cum%
         0     0% 85.28%     454978  5.70%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0% 85.28%     454978  5.70%  github.com/golang-jwt/jwt.Parse
         0     0% 85.28%     196609  2.47%  github.com/google/flatbuffers/go.(*Builder).CreateString
         0     0% 85.28%     131075  1.64%  github.com/google/flatbuffers/go.(*Builder).EndObject (inline)
         0     0% 85.28%     262148  3.29%  github.com/google/flatbuffers/go.(*Builder).Finish (inline)
         0     0% 85.28%     827403 10.37%  github.com/google/flatbuffers/go.(*Builder).Prep
         0     0% 85.28%     155650  1.95%  github.com/google/flatbuffers/go.(*Builder).PrependInt64
         0     0% 85.28%      65536  0.82%  github.com/google/flatbuffers/go.(*Builder).PrependSOffsetT
         0     0% 85.28%      65539  0.82%  github.com/google/flatbuffers/go.(*Builder).PrependVOffsetT
         0     0% 85.28%     131075  1.64%  github.com/google/flatbuffers/go.(*Builder).WriteVtable
         0     0% 85.28%     262148  3.29%  github.com/google/flatbuffers/go.(*Builder).finish
         0     0% 85.28%     226978  2.85%  github.com/gorilla/mux.(*Router).ServeHTTP
         0     0% 85.28%     732854  9.19%  github.com/untillpro/airs-bp3/airsbp3.buildVVM
         0     0% 85.28%     360888  4.52%  github.com/untillpro/airs-bp3/apps/untill/airsbp.ProvideAirsBP.func1
         0     0% 85.28%     122487  1.54%  github.com/untillpro/airs-bp3/packages/air.Provide
         0     0% 85.28%      44901  0.56%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*articleService).isPromoArticle
         0     0% 85.28%      77669  0.97%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do.func3
         0     0% 85.28%      48007   0.6%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyOrders
         0     0% 85.28%      96328  1.21%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyPayments
         0     0% 85.28%      91827  1.15%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyWaiters
