File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 5:44pm (UTC)
Showing nodes accounting for 5555279, 87.55% of 6345515 total
Dropped 358 nodes (cum <= 31727)
      flat  flat%   sum%        cum   cum%
         0     0% 87.55%     251847  3.97%  github.com/alecthomas/participle/v2.(*Parser[...]).ParseString
         0     0% 87.55%     251847  3.97%  github.com/alecthomas/participle/v2.(*Parser[...]).parse
         0     0% 87.55%     251043  3.96%  github.com/alecthomas/participle/v2.(*Parser[...]).parseInto
         0     0% 87.55%     251043  3.96%  github.com/alecthomas/participle/v2.(*Parser[...]).parseOne
         0     0% 87.55%     277930  4.38%  github.com/alecthomas/participle/v2.(*disjunction).Parse
         0     0% 87.55%     240276  3.79%  github.com/alecthomas/participle/v2.(*generatorContext).parseGroup
         0     0% 87.55%      48096  0.76%  github.com/alecthomas/participle/v2.(*generatorContext).parseLiteral
         0     0% 87.55%     428225  6.75%  github.com/alecthomas/participle/v2.(*generatorContext).parseSequence
         0     0% 87.55%     428225  6.75%  github.com/alecthomas/participle/v2.(*generatorContext).parseTerm
         0     0% 87.55%     428225  6.75%  github.com/alecthomas/participle/v2.(*generatorContext).parseTermNoModifiers
         0     0% 87.55%     428225  6.75%  github.com/alecthomas/participle/v2.(*generatorContext).parseType
         0     0% 87.55%     235514  3.71%  github.com/alecthomas/participle/v2.(*generatorContext).subparseGroup
         0     0% 87.55%     299775  4.72%  github.com/alecthomas/participle/v2.(*group).Parse
         0     0% 87.55%     103890  1.64%  github.com/alecthomas/participle/v2.(*structLexer).Next
         0     0% 87.55%     192840  3.04%  github.com/alecthomas/participle/v2.(*structLexer).Peek
         0     0% 87.55%      73728  1.16%  github.com/alecthomas/participle/v2.(*tagLexer).Next
         0     0% 87.55%     144384  2.28%  github.com/alecthomas/participle/v2.Build[...]
         0     0% 87.55%     129670  2.04%  github.com/alecthomas/participle/v2.MustBuild[...] (inline)
         0     0% 87.55%      85726  1.35%  github.com/alecthomas/participle/v2.visit.func1
         0     0% 87.55%     205815  3.24%  github.com/gocql/gocql.(*Batch).execute
         0     0% 87.55%     109700  1.73%  github.com/gocql/gocql.(*Conn).heartBeat
         0     0% 87.55%      42298  0.67%  github.com/gocql/gocql.(*Conn).serve
         0     0% 87.55%      43946  0.69%  github.com/gocql/gocql.(*Iter).Scan
         0     0% 87.55%      44074  0.69%  github.com/gocql/gocql.(*Iter).SliceMap
         0     0% 87.55%     137198  2.16%  github.com/gocql/gocql.(*Query).Exec
         0     0% 87.55%     164504  2.59%  github.com/gocql/gocql.(*Query).Iter
         0     0% 87.55%     134676  2.12%  github.com/gocql/gocql.(*Query).execute
         0     0% 87.55%     243625  3.84%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0% 87.55%     243625  3.84%  github.com/gocql/gocql.(*Session).executeBatch
         0     0% 87.55%     164504  2.59%  github.com/gocql/gocql.(*Session).executeQuery
         0     0% 87.55%     109974  1.73%  github.com/gocql/gocql.(*framer).parseFrame
         0     0% 87.55%      93589  1.47%  github.com/gocql/gocql.(*framer).parseSupportedFrame (inline)
