File: airs-bp
Type: cpu
Time: Aug 24, 2023 at 5:25pm (UTC)
Duration: 10s, Total samples = 1.13s (11.30%)
Showing nodes accounting for 1.12s, 99.12% of 1.13s total
      flat  flat%   sum%        cum   cum%
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*Session).Query
         0     0% 99.12%      0.05s  4.42%  github.com/gocql/gocql.(*Session).executeBatch
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*Session).executeQuery
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*framer).writeBatchFrame
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*policyConnPool).getPool
         0     0% 99.12%      0.04s  3.54%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0% 99.12%      0.06s  5.31%  github.com/gocql/gocql.(*queryExecutor).do
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*queryMetrics).attempt
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*writeBatchFrame).buildFrame
         0     0% 99.12%      0.03s  2.65%  github.com/gocql/gocql.(*writeCoalescer).flush
         0     0% 99.12%      0.06s  5.31%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher.func1
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.readHeader
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.roundRobbin.func1
         0     0% 99.12%      0.01s  0.88%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
         0     0% 99.12%      0.01s  0.88%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
         0     0% 99.12%      0.01s  0.88%  github.com/golang-jwt/jwt.Parse
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Builder).CreateString
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Builder).EndObject (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Builder).PrependInt32
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Builder).PrependSOffsetT
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Builder).WriteVtable
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Table).GetVOffsetT (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Table).Offset
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.GetVOffsetT (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/google/flatbuffers/go.NewBuilder (inline)
         0     0% 99.12%      0.02s  1.77%  github.com/gorilla/mux.(*Route).Match
         0     0% 99.12%      0.02s  1.77%  github.com/gorilla/mux.(*Router).Match
         0     0% 99.12%      0.05s  4.42%  github.com/gorilla/mux.(*Router).ServeHTTP
         0     0% 99.12%      0.01s  0.88%  github.com/gorilla/mux.(*routeRegexp).Match
         0     0% 99.12%      0.01s  0.88%  github.com/gorilla/mux.routeRegexpGroup.setMatch
         0     0% 99.12%      0.01s  0.88%  github.com/hashicorp/golang-lru/v2.(*Cache[...]).Add
         0     0% 99.12%      0.01s  0.88%  github.com/hashicorp/golang-lru/v2/simplelru.(*LRU[...]).Add
         0     0% 99.12%      0.02s  1.77%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
         0     0% 99.12%      0.03s  2.65%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/edit.execCmdPbill
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/ordersdates.glob..func1
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/pbilldates.glob..func1
         0     0% 99.12%      0.02s  1.77%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.ProvideTableBusinessValidator.func1
         0     0% 99.12%      0.02s  1.77%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.ProvideTableBusinessValidator.func1.1
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3.1
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3.2
         0     0% 99.12%      0.02s  1.77%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4
         0     0% 99.12%      0.02s  1.77%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.1
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/dynobuffers.(*Buffer).IterateFields
