File: airs-bp
Type: cpu
Time: Aug 24, 2023 at 6:14pm (UTC)
Duration: 10.05s, Total samples = 1.24s (12.34%)
Showing nodes accounting for 1.24s, 100% of 1.24s total
      flat  flat%   sum%        cum   cum%
     0.22s 17.74% 17.74%      0.22s 17.74%  runtime/internal/syscall.Syscall6
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading.func1
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
         0     0%   100%      0.10s  8.06%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).DoAsync
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).Flush
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).flush
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/projectors.newSyncBranch.func1
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/projectors.syncActualizerFactory.func3
         0     0%   100%      0.07s  5.65%  github.com/voedger/voedger/pkg/router.corsHandler.func1
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/router.createRequest
         0     0%   100%      0.07s  5.65%  github.com/voedger/voedger/pkg/router.requestHandler.func1
         0     0%   100%      0.04s  3.23%  github.com/voedger/voedger/pkg/router.writeResponse
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*bundleImpl).get
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/state.(*bundledHostState).CanExist
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*bundledHostState).FlushBundles
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/state.(*hostState).ApplyIntents
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*hostState).CanExist
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*hostState).KeyBuilder
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*hostState).MustExist
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*hostState).NewValue
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*hostState).UpdateValue
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*hostState).isIntentsFull (inline)
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*hostState).isIntentsSize (inline)
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*recordsStorage).Get
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*recordsStorage).ProvideValueBuilderForUpdate
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*viewRecordsKeyBuilder).Equals
         0     0%   100%      0.05s  4.03%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).NewKeyBuilder
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ProvideValueBuilder
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*viewRecordsValueBuilder).Build (inline)
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*viewRecordsValueBuilder).BuildValue
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/sys/authnz/workspace.initializeWorkspaceProjector.func1
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/sys/builtin.provideRefIntegrityValidator.func2
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/sys/journal.glob..func1
         0     0%   100%      0.02s  1.61%  internal/poll.(*FD).Read
         0     0%   100%      0.04s  3.23%  internal/poll.(*FD).Write
         0     0%   100%      0.10s  8.06%  internal/poll.(*FD).Writev
         0     0%   100%      0.06s  4.84%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%      0.10s  8.06%  internal/poll.writev
         0     0%   100%      0.01s  0.81%  io.ReadAtLeast
         0     0%   100%      0.01s  0.81%  io.ReadFull (inline)
         0     0%   100%      0.02s  1.61%  net.(*conn).Read
         0     0%   100%      0.04s  3.23%  net.(*conn).Write
         0     0%   100%      0.10s  8.06%  net.(*conn).writeBuffers
         0     0%   100%      0.02s  1.61%  net.(*netFD).Read
         0     0%   100%      0.04s  3.23%  net.(*netFD).Write
         0     0%   100%      0.10s  8.06%  net.(*netFD).writeBuffers
