File: airs-bp
Type: cpu
Time: Aug 26, 2023 at 7:23pm (UTC)
Duration: 10.15s, Total samples = 1.17s (11.53%)
Showing nodes accounting for 1.17s, 100% of 1.17s total
      flat  flat%   sum%        cum   cum%
     0.22s 18.80% 18.80%      0.22s 18.80%  runtime/internal/syscall.Syscall6
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEvent
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEventObjects
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/istructsmem.(*valueType).Build
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/istructsmem.FillElementFromJSON
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem.loadRow
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem.newUpdateRec
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/istructsmem.newValue
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/istructsmem.regenerateIDsInUpdateRecord
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem/internal/utils.WriteByte (inline)
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/istructsmem/internal/utils.WriteUint16 (inline)
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/itokens-payloads.(*implIAppTokens).ValidateToken
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/itokensjwt.(*JWTSigner).ValidateToken
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/itokensjwt.buildGenericPayload
         0     0%   100%      0.09s  7.69%  github.com/voedger/voedger/pkg/pipeline.(*WiredOperator).doAsync
         0     0%   100%      0.32s 27.35%  github.com/voedger/voedger/pkg/pipeline.(*WiredOperator).doSync
         0     0%   100%      0.31s 26.50%  github.com/voedger/voedger/pkg/pipeline.(*implISyncOperatorSimple).DoSync
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/pipeline.(*serviceOperator).DoSync.func1
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/pipeline.AsyncPipeline.SendAsync
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/pipeline.WiredOperator.forwardIfErrorAsync
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync.func1
         0     0%   100%      0.12s 10.26%  github.com/voedger/voedger/pkg/pipeline.puller_async
         0     0%   100%      0.34s 29.06%  github.com/voedger/voedger/pkg/pipeline.puller_sync
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).authenticate
         0     0%   100%      0.04s  3.42%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).putPLog
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).validate
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).validate.func2
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).writeCUDs
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/processors/command.applyPLogEvent
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/processors/command.buildRawEvent
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/processors/command.execCommand
         0     0%   100%      0.04s  3.42%  github.com/voedger/voedger/pkg/processors/command.getArgsObject
         0     0%   100%      0.05s  4.27%  github.com/voedger/voedger/pkg/processors/command.unmarshalRequestBody
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).Run
